name,category,address,description,score,rank_str,review,review_count,url
Sentral Wynwood,hotels,"51 NW 26th St, Miami, FL 33127","Sentral is transforming the travel experience and changing the way you stay. At Sentral Wynwood—you’ll enjoy spacious, apartment-style rooms for you and your group to create new memories all under one roof. They’re designed to feel like home, just better. You’ll be located right inside Miami’s vibrant cultural epicenter, the city’s coolest neighborhood. Between visits to much-loved art museums, top restaurants, and outdoor markets—you’ll enjoy a fully stocked room and luxury amenities including a stunning rooftop pool, fitness center, and lounge area. With 24/7 service from our friendly staff, you’ll have everything you need—plus, so much more. To bring this space to life, our in-house creative team designed original wallpapers and prints inspired by Wynwood’s impressive art culture—with a touch of Sentral thrown in the mix.",4.5,#60 of 155 hotels in Miami,"I loved it here! Close to restaurants, shopping and bars. Very easy to get Ubers or park rental car. Overall, super  modern, clean, and quiet. The pool and gym were breathtaking and the staff were sooo nice! David and Jack were super helpful and flexible about checking in and checking out even when it got really busy at the desk: ",87,https://www.tripadvisor.com//Hotel_Review-g34438-d19395417-Reviews-Sentral_Wynwood-Miami_Florida.html
The Guild Downtown | X Miami,condos,"230 NE 4th St, Miami, FL 33132-2231",The Guild is the hotel that combines the comforts of home with the perks of boutique accommodations. Experience life as a local and travel for days on end without hitting pause on your daily routine; allow yourself to live your best life--no matter where the road takes you.,4.0,#3 of 28 condos in Miami,"I also received that email yesterday.  Was very disappointed and angry especially the sentence indicating they have insufficient funds to refund the deposit.  I made reservations in February for 2 of the 3 bedroom units and had to pay immediately $2100.  We are going on a family cruise leaving Aug 21 and we were  very excited at idea of all 6 families being able to be together so close to the pier. After trying to get in touch with them and Booking.com to no avail, I contacted credit card server (BofA) to start a dispute.  I was advised to forward email to them indicating they would not be providing services as promised.  I returned to original confirmation indicating free cancellation before arrival date so I canceled with Booking.com as they allegedly are still in business for next several days.  I spent all day yesterday trying to secure rooms for group but now need to spread out.  I pray I will get my money back expeditiously as I now have to re pay for rooms. Please advise if anybody else is dealing with these crooks and how you are handling it. Trying real hard to stay hopeful and plans to enjoy cruise with family…",159,https://www.tripadvisor.com//Hotel_Review-g34438-d15145593-Reviews-The_Guild_Downtown_X_Miami-Miami_Florida.html
Beautiful Spanish Residence in Coconut Grove,limited service properties,"1757 Wa Kee NA Dr, Miami, FL 33133-2437","No se que tiene este lugar ,pero me siento como en micasa. Entras con clave ,no ves a nadie , parece tu casa. Duermo como en el cielo. salgo entro y creo que es mi casa. Las habitaciones son excelentes, el bungalow es super amplio pero ruidoso. soy una persona que me importa mas la comodidad que el ruido. siempre que voy a Miami pienso en ese lugar. no hay servicio ,no hay atención pero te sientes muy bien.",4.5,#7 of 18 limited service properties in Miami,"What a gorgeous find! Our family of 5 stayed for 2 nights and we loved it!  Beautifully decorated, huge rooms and a very helpful owner who was happy to give us tips about the surrounding area and explain more about the neighbourhood.  Coconut Grove is lovely, the kids loved the roaming peacocks and I would love to return for a longer stay.  Great location with all of Miami's major sights within short driving distance. Would definitely recommend for short or longer stays. You do need a car to get around, but we never had any issues finding parking at any time of the day.",4,https://www.tripadvisor.com//Hotel_Review-g34438-d15350250-Reviews-Beautiful_Spanish_Residence_in_Coconut_Grove-Miami_Florida.html
"EVEN Hotel Miami - Airport, an IHG Hotel",hotels,"3499 N.W. 25th Street, Miami, FL 33142","Modern Pet Friendly Hotel near Miami International Airport​EVEN Hotel Miami-Airport offers a unique experience centered around wellness. Our modern rooms provide a tranquil retreat with free Wi-Fi. Enjoy a great workout in our best-in-class Fitness Center. Plus, indulge in delicious balanced meals at our restaurant, EVEN Kitchen and Bar. Our wellness hotel also offers a complimentary airport shuttle.​Whether you're in town for business visiting Waterford Business Park on Blue Lagoon Drive, conveniently located to the offices of Burger King HQ and Boeing Training Facility  or for Miami Marlins game at LoanDepot Park, or an appointment at Jackson Memorial Hospital,  experience all that Miami has to offer. Head to Little Havana to explore art galleries and Cuban eateries don't forget to try a Cortadito, before making your way to Wynwood, one of Miami's hippest neighborhoods. Experience world-class shopping at Lincoln Road Mall or Bayside Marketplace.",4.0,#34 of 155 hotels in Miami,Everyone was very nice and helpful.  The room was clean. Dinner at the restaurant was very good! We liked that it was close to the airport for our needs. It has a really nice workout room plus some stretch equipment in the room. The room was a good size. ,461,https://www.tripadvisor.com//Hotel_Review-g34438-d13341145-Reviews-EVEN_Hotel_Miami_Airport_an_IHG_Hotel-Miami_Florida.html
Mr. C Miami Coconut Grove,hotels,"2988 McFarlane Rd, Miami, FL 33133-6011","From the illustrious fourth generation hospitality leaders, brothers Ignazio and Maggio Cipriani, comes Mr. C Coconut Grove, an oasis surrounded by breathtaking views of Biscayne Bay and the Coconut Grove skyline. The hotel will feature 100 guestrooms and suites with private outdoor terraces, rooftop pool, meeting space and a new Italian dining concept rooftop Bellini Restaurant and Bar.",4.5,#13 of 155 hotels in Miami,Relatively small hotel with 5-star service and rooms. Located in the heart of beautiful Coconut Grove with all bars and restaurants around the hotel. The hotel restaurant is ex excellent with a fantastic view over the shore. ,413,https://www.tripadvisor.com//Hotel_Review-g34438-d15809999-Reviews-Mr_C_Miami_Coconut_Grove-Miami_Florida.html
Atwell Suites Miami Brickell,hotels,"145 SW 11th St, Miami, FL 33130-4005","Save yourself the time and money, don’t go there!! Worst hotel ever, terrible staff , terrible service, checked us in a dirty room, complained about it over eight times no one came out to clean the room until my last day! There’s just so much to say about this hotel that is not pleasant but I will leave my review as it is. I will not recommend this hotel to anyone, I had the worst experience ever, waste of money!!",3.5,#109 of 155 hotels in Miami,The room was great and bed comfy  But sadly soundproofing appeared to be nil Kept awake till 430 am first night by noisy people above then woken up 6 am with construction site next door Construction site started 6 am every day of my stay including Saturday  3rd night had much more than I needed to hear of neighbours having sex  No recognition at all of IHG status  Breakfast very basic and poor and a zoo Also only went till 0930  I had a microwave and fridge but no plates glasses or cutlery in room  Location was great  Rooms clean   So with some improvements it could be an awesome place to stay,16,https://www.tripadvisor.com//Hotel_Review-g34438-d23806191-Reviews-Atwell_Suites_Miami_Brickell-Miami_Florida.html
Sinbad Motel,hotels,"6150 Biscayne Blvd, Miami, FL 33137-2227","Finding an ideal budget friendly hotel in Miami does not have to be difficult. Welcome to Sinbad Motel, a nice option for travelers like you.You’ll enjoy relaxing rooms that offer a flat screen TV, air conditioning, and a refrigerator, and you can stay connected during your stay as Sinbad Motel offers guests free wifi.For guests with a vehicle, free parking is available.While staying at Sinbad Motel, visitors can check out Upper East Side (0.5 mi) and Cathedral of Saint Mary (1.3 mi), some of Miami's top attractions.Travelers looking to enjoy some burritos can head to Coyo Taco, MIAM, or Lost & Found Saloon. Otherwise, you may want to check out an Italian restaurant such as Ferraro's Kitchen Restaurant & Wine Bar, Salumeria 104, or Andiamo.If you’re looking for something to do, Morningside Park (0.5 mi), Little Haiti Cultural Complex (0.5 mi), and Miami Ironside (0.9 mi) are a nice way to spend some time, and they are all within walking distance of Sinbad Motel.Sinbad Motel puts the best of Miami at your fingertips, making your stay both relaxing and enjoyable.",3.5,#96 of 155 hotels in Miami,"This place is totally disgusting! Do not stay there!  The pictures online are not real. We saw roaches in the room, the bed sheets had holes, the towels were dirty, there was no hot water, the internet didn't work. There were people selling drugs all night in the car parked in front of our room. There were several people coming in and out of the room next to us, I never felt so unsafe and scared in my entire life. I asked for my money back to leave this place and find someone else to stay, and despite those aspects about the property they refused to return the money.   Do not stay at this place! The neighborhood isn't safe, the place is totally disgusting and they don't give your money back once you book it ://///",109,https://www.tripadvisor.com//Hotel_Review-g34438-d4291023-Reviews-Sinbad_Motel-Miami_Florida.html
Fortuna House Apartments,condos,"432 NE 26th St, Miami, FL 33137-4792","Acceptable low budget hotel, but if you go with your own car think twice! The hotel lacks in car parking (none of their own and without agreements with some other parking), so you just have to leave the car on the street, usually very busy, and with only few free spaces. So if you’re lucky, you can find spaces you have to pay for. I would also recommend to be more “available” on the phone for the guests... sometimes we called the hotel phone, but without luck.",3.5,#9 of 28 condos in Miami,"The place was so bad we couldn't stay there. The area was scary and the driver who drop us off warned us not to go out at night. There was no one there to meet us and we couldn't get through by phone. Two other guests got our key and that's when we saw how bad the room was. Plugs hanging over  the sink, blood spots on the sheets, wall paper hanging off. The other  2 guests wouldn't stay either and together we all found other accommodation. Lucky they turned up as we were stranded.",283,https://www.tripadvisor.com//Hotel_Review-g34438-d1653542-Reviews-Fortuna_House_Apartments-Miami_Florida.html
Courtyard by Marriott Miami Airport,hotels,"1201 NW Le Jeune Road, Miami, FL 33126","Courtyard Miami Airport is a pet-friendly hotel in Miami, FL, offering redesigned amenities and accommodations just a few minutes away from Miami International Airport. The hotel's innovative lobby features cutting-edge technology and private media pods, while guests can enjoy the outdoor pool, whirlpool spa, and sleek fitness center with cardio machines and free weights. The hotel is conveniently located near Dolphin Mall, Marlins Park, and Coral Gables nightlife offering versatile venues for business or social functions with seating for up to 140 guests.",4.0,#56 of 155 hotels in Miami,"The proximity to the Miami airport and free shuttle were the main selling features of this hotel, Well- priced for what you get! Nothing fancy and a bit dated, it certainly served our purpose, which was a quick overnight as we were flying in and out of Miami within a day!",1289,https://www.tripadvisor.com//Hotel_Review-g34438-d223969-Reviews-Courtyard_by_Marriott_Miami_Airport-Miami_Florida.html
Mint House Miami - Downtown,apartment hotel,"340 SE 3rd St, Miami, FL 33131","Make The Magic City your own personal paradise in a studio, one, two, two-bedroom-plus, or three-bedroom apartment rental with up to three times the space of traditional short-term rentals, a full kitchen, washer/dryer, free wi-fi, comfortable beds and spacious living areas for relaxing, entertaining, and remote working. As our guest at Mint House Miami – Downtown, you can enjoy all the benefits of a wellness-centered beachfront lifestyle, from a pristine pool with a deck that overlooks the ocean, to a state-of-the-art fitness center, to a steam room and sauna. There’s even a playground for younger visitors. While we’re more than happy to pre-stock your apartment with your favorite groceries, there’s a Whole Foods right next door in case you forget something. With panoramic views of the city, the Miami River, Biscayne Bay and Brickell Key, your downtown Miami apartment hotel makes it feel like the entire city is at your feet with limitless entertainment, dining and cultural opportunities. Lest the options seem a bit overwhelming, not to worry: your on-site concierge is there to help ensure a seamless stay.",4.0,#1 of 1  apartment hotel in Miami,"The apartment was amazing, but I received no communication prior to arriving at the building as to how to access the apartment. Luckily, the person working the lobby knew the procedure and gave me the number to call in order to get the code to get in. Also, despite having info on their 5-star coffee in the apartment, there were no coffee beans or grounds to be had, which was disappointing in the morning.",50,https://www.tripadvisor.com//Hotel_Review-g34438-d23039294-Reviews-Mint_House_Miami_Downtown-Miami_Florida.html
